date,coral_id,bouyantweight_g,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,density_aragonite,wound,fish
initial,116,13.182,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,116,13.444,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Small,Fish
initial,117,11.3686,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish
final,117,11.6169,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,No Wound,No Fish
initial,118,10.7944,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,118,11.06103,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,Fish
initial,119,15.2443,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,119,15.5693,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Large,Fish
initial,120,22.9864,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,120,23.3358,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,No Wound,Fish
initial,121,14.2154,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,121,14.5184,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,No Fish
initial,122,18.9906,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish
final,122,19.2367,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,Fish
initial,123,11.9137,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,123,12.1438,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
initial,124,19.4409,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,124,19.8493,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,No Fish
initial,125,11.7152,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,125,12.0722,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,Fish
initial,126,12.6297,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,126,12.9134,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
initial,127,18.748,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish
final,127,19.2053,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Large,Fish
initial,128,13.3703,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish
final,128,13.5765,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,No Wound,Fish
initial,129,11.3126,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish
final,129,11.591,24.3,47.3482,29.8,26.2047,27.1,25.682,2.93,Small,No Fish
initial,130,13.488,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish
final,130,13.7998,24.3,47.3374,26.7,26.2057,26.1,25.6029,2.93,Large,No Fish
